image_id,PredictionString
955bf1edd532,opacity 0.013675 712 2104 1545 2865 opacity 0.012623 785 2248 1449 2824 opacity 0.008702 868 2382 1358 2788 opacity 0.005996 2972 1495 3688 2807 opacity 0.005608 511 1023 1383 2702 opacity 0.005317 2807 1987 3710 3020 opacity 0.004243 2584 919 3620 2837 opacity 0.004020 2530 2358 3252 2998 opacity 0.003352 2547 2220 3455 3041 opacity 0.003295 372 2045 1371 3017 opacity 0.002871 582 1747 1479 2789 opacity 0.002162 3072 1224 3642 2414 opacity 0.000793 710 825 1749 2731 opacity 0.000742 436 1646 1165 2735 opacity 0.000721 483 1070 1080 2436 opacity 0.000613 2448 1790 3319 2946 opacity 0.000542 954 1769 1668 2782 opacity 0.000510 2659 7 4131 282 opacity 0.000493 745 992 1201 1658 opacity 0.000438 442 8 2036 333 opacity 0.000438 615 1020 1085 1938 opacity 0.000362 558 2327 1481 3059 opacity 0.000352 2400 515 3247 1545 opacity 0.000344 654 918 1242 2100 opacity 0.000254 812 754 1366 1584 opacity 0.000220 3130 2250 3793 3086 opacity 0.000202 2087 3181 3437 3480 opacity 0.000164 199 2902 778 3473 opacity 0.000156 894 2372 1665 2882 opacity 0.000153 2286 3310 3221 3473 opacity 0.000150 0 394 265 1930 opacity 0.000129 3197 1563 3669 2359 opacity 0.000114 2758 0 3453 129 opacity 0.000107 2352 551 3031 1319 
1d981fb423e0,opacity 0.045694 502 2275 1564 3075 opacity 0.022462 2558 2162 3624 3298 opacity 0.018593 536 1482 1409 2961 opacity 0.016531 2441 2229 3433 3120 opacity 0.014409 1179 955 1512 1334 opacity 0.013456 671 1363 1248 2211 opacity 0.009735 1096 904 1551 1400 opacity 0.009612 2570 1190 3591 3047 opacity 0.009530 2385 2315 3081 3031 opacity 0.009253 889 2060 1738 3006 opacity 0.008127 2814 2436 3678 3425 opacity 0.007584 645 983 1748 3016 opacity 0.006842 449 2444 1141 3061 opacity 0.005140 764 1069 1470 2145 opacity 0.003382 434 2082 1139 3027 opacity 0.002818 2911 2288 3600 3110 opacity 0.002651 606 1601 1121 2371 opacity 0.002575 1012 2199 1635 2733 opacity 0.002567 2494 1854 3251 2970 opacity 0.001954 3031 2825 3702 3479 opacity 0.001830 768 1562 1379 2229 opacity 0.001814 2985 2140 3810 3420 opacity 0.001583 403 2566 1683 3375 opacity 0.001396 718 1404 1592 2514 opacity 0.001367 2874 1700 3615 3118 opacity 0.001290 1007 949 1531 1592 opacity 0.001184 747 1550 1195 2107 opacity 0.001061 2922 1379 3891 3334 opacity 0.000989 3125 1893 3722 3091 opacity 0.000800 2728 1185 3489 2153 opacity 0.000754 931 2343 1781 3178 opacity 0.000714 1074 1600 1827 2882 opacity 0.000709 931 803 1722 1539 opacity 0.000679 2298 1040 3219 2991 opacity 0.000570 3320 1119 4246 3475 opacity 0.000563 2707 1035 3176 1707 opacity 0.000499 575 2567 1064 2979 opacity 0.000486 735 995 1923 2304 opacity 0.000445 2796 992 3211 1387 opacity 0.000433 2705 870 3402 1754 opacity 0.000418 838 836 1867 1822 opacity 0.000408 929 1635 1443 2124 opacity 0.000353 821 455 1917 2773 opacity 0.000344 1038 663 1953 1419 opacity 0.000305 299 1291 1062 3065 opacity 0.000290 655 2043 1444 2845 opacity 0.000265 2771 1407 3319 1903 opacity 0.000263 3051 1338 3549 1949 opacity 0.000240 3182 1441 3693 2803 opacity 0.000202 1045 1040 1493 1441 opacity 0.000180 714 1740 1328 2549 opacity 0.000173 3236 1251 3534 1726 opacity 0.000158 1211 931 1668 1509 opacity 0.000157 987 1427 1568 2236 opacity 0.000155 17 775 315 2895 opacity 0.000153 0 727 166 2168 opacity 0.000151 2813 775 3269 1427 opacity 0.000141 755 1319 1087 1991 opacity 0.000139 2655 1427 3169 2216 opacity 0.000135 548 1665 1103 2753 opacity 0.000135 1070 2073 1950 3229 opacity 0.000134 3949 2059 4248 3364 opacity 0.000132 2622 1720 3211 2488 opacity 0.000123 913 945 1568 1910 opacity 0.000123 3236 1842 3634 2413 opacity 0.000116 2572 2420 3236 3059 opacity 0.000114 2323 1754 2970 3052 opacity 0.000113 2489 2875 3709 3480 opacity 0.000112 3161 2236 4248 3480 opacity 0.000111 1269 986 1601 1244 opacity 0.000110 1236 2372 1875 3283 opacity 0.000103 3767 809 4223 3283 opacity 0.000103 3178 2923 4248 3480 opacity 0.000103 473 911 1253 2168 
e7b2a9418b98,opacity 0.356096 1502 406 2382 1835 opacity 0.199763 194 762 1053 1730 opacity 0.020177 184 229 1168 1726 opacity 0.013021 1700 932 2400 1830 opacity 0.008794 157 875 703 1661 opacity 0.006268 353 893 956 1519 opacity 0.003868 1581 436 2201 1156 opacity 0.003373 504 898 1163 1801 opacity 0.003027 1873 1220 2369 1784 opacity 0.001984 1721 897 2245 1548 opacity 0.001205 2717 488 2867 1765 opacity 0.001132 2657 344 2872 1870 opacity 0.000891 1742 482 2351 1437 opacity 0.000705 106 995 1198 2143 opacity 0.000616 1892 522 2470 1740 opacity 0.000512 1537 369 2100 900 opacity 0.000491 294 882 825 1249 opacity 0.000440 1531 396 1975 760 opacity 0.000395 62 467 808 1661 opacity 0.000325 568 915 1016 1437 opacity 0.000313 700 493 1046 827 opacity 0.000296 1587 1255 2378 1916 opacity 0.000265 363 1081 958 1717 opacity 0.000255 1425 562 2078 1661 opacity 0.000137 168 1269 1105 1888 opacity 0.000128 516 359 1178 1515 opacity 0.000128 1991 656 2345 1354 opacity 0.000127 163 1066 550 1642 opacity 0.000120 1677 750 2244 1241 opacity 0.000107 213 845 639 1416 
97de5453f769,opacity 0.104621 427 438 1348 1807 opacity 0.058743 2364 1127 2797 1781 opacity 0.032921 2172 641 2792 1737 opacity 0.019735 418 1126 1227 1861 opacity 0.015912 2070 986 2794 1915 opacity 0.011268 2535 840 2798 1744 opacity 0.007498 2542 1264 2799 1853 opacity 0.006000 0 466 301 1804 opacity 0.004416 0 630 167 1802 opacity 0.003836 728 1287 1270 1781 opacity 0.003768 2664 1028 2798 1736 opacity 0.003668 409 1472 942 1867 opacity 0.002573 467 1069 1013 1674 opacity 0.002472 699 817 1376 1741 opacity 0.001899 1945 1155 2794 2396 opacity 0.001844 0 945 111 1945 opacity 0.001820 2421 1281 2796 2388 opacity 0.001629 430 1427 1296 1999 opacity 0.001613 1913 0 2759 202 opacity 0.001601 2122 715 2563 1431 opacity 0.001532 340 701 1031 1795 opacity 0.001450 2205 1208 2795 2232 opacity 0.001293 2138 798 2477 1232 opacity 0.001121 635 451 1344 1346 opacity 0.001034 2132 525 2766 1299 opacity 0.000942 2 1064 195 2033 opacity 0.000927 347 1252 825 1865 opacity 0.000905 488 1541 867 1818 opacity 0.000905 2171 1142 2738 1715 opacity 0.000811 2064 419 2525 705 opacity 0.000642 528 1 1519 182 opacity 0.000607 2675 1307 2800 1796 opacity 0.000497 2034 445 2598 1166 opacity 0.000416 0 1358 98 1982 opacity 0.000368 2575 1375 2796 2512 opacity 0.000337 5 1319 153 1994 opacity 0.000329 1686 595 2729 1855 opacity 0.000323 1726 7 2601 311 opacity 0.000315 0 465 153 977 opacity 0.000314 2667 1295 2798 2071 opacity 0.000274 526 951 1183 1625 opacity 0.000269 1836 2267 2756 2616 opacity 0.000258 465 1370 842 1825 opacity 0.000256 353 1587 821 1906 opacity 0.000255 77 557 963 1902 opacity 0.000232 1920 297 2789 1457 opacity 0.000224 0 302 241 1457 opacity 0.000204 2231 977 2762 1585 opacity 0.000195 1925 649 2625 1636 opacity 0.000168 880 614 1405 1570 opacity 0.000163 2363 624 2784 1084 opacity 0.000141 410 1115 777 1641 opacity 0.000138 2352 833 2778 1493 opacity 0.000120 0 818 104 1600 opacity 0.000120 722 481 1313 987 opacity 0.000110 563 1580 798 1790 opacity 0.000108 1591 992 1777 1304 opacity 0.000103 864 1212 1427 1820 
ffb8115a304c,opacity 0.115958 592 556 1212 1666 opacity 0.102410 1898 721 2374 1624 opacity 0.039466 624 1109 1198 1685 opacity 0.019058 1895 953 2396 1791 opacity 0.018222 670 586 1100 1164 opacity 0.016044 1835 740 2264 1277 opacity 0.011712 2090 1022 2370 1536 opacity 0.009214 777 1195 1206 1590 opacity 0.009116 2074 952 2415 1759 opacity 0.008506 1747 496 2312 1507 opacity 0.007538 1887 808 2199 1126 opacity 0.007516 697 685 1018 1054 opacity 0.006049 1734 1280 2291 1817 opacity 0.003623 693 477 1194 1023 opacity 0.003414 1936 607 2306 1146 opacity 0.002987 991 541 1255 779 opacity 0.002946 648 808 1093 1494 opacity 0.002755 473 819 1004 1747 opacity 0.002014 2148 1556 2378 1793 opacity 0.001927 2066 749 2358 1365 opacity 0.001742 1709 1367 2128 1800 opacity 0.001656 2020 1167 2346 1481 opacity 0.001595 775 778 1244 1608 opacity 0.001503 1989 1464 2398 1824 opacity 0.001368 850 466 1264 867 opacity 0.000981 844 1226 1112 1532 opacity 0.000810 478 1210 994 1816 opacity 0.000724 1068 562 1254 735 opacity 0.000598 2204 1613 2360 1791 opacity 0.000531 735 401 1340 1445 opacity 0.000467 1983 599 2258 956 opacity 0.000461 1115 2379 1600 2701 opacity 0.000448 886 1280 1227 1625 opacity 0.000447 666 2411 1577 2696 opacity 0.000416 1769 654 2189 1176 opacity 0.000361 2129 1308 2403 1825 opacity 0.000328 1828 522 2272 1029 opacity 0.000328 565 1032 888 1591 opacity 0.000249 2150 1170 2363 1503 opacity 0.000223 2140 708 2491 1662 opacity 0.000216 1991 739 2254 1097 opacity 0.000201 1688 454 2184 1108 opacity 0.000200 602 1303 1244 1825 opacity 0.000173 1910 1562 2645 2701 opacity 0.000136 1740 411 2260 876 opacity 0.000135 625 1234 1069 1572 opacity 0.000134 1676 1440 1997 1799 opacity 0.000122 1875 1451 2196 1757 opacity 0.000115 467 1477 893 1873 opacity 0.000104 2155 1266 2342 1461 opacity 0.000104 625 1171 823 1419 
c3ded8550e66,opacity 0.081102 458 1191 1010 1873 opacity 0.045107 1760 1435 2279 1866 opacity 0.036987 515 1064 894 1685 opacity 0.033023 604 1171 821 1377 opacity 0.021833 551 1119 840 1441 opacity 0.009308 1956 1483 2304 1845 opacity 0.008133 1788 1009 2306 1837 opacity 0.006185 482 966 834 1454 opacity 0.005793 1883 845 2106 1170 opacity 0.005259 365 943 853 1815 opacity 0.004562 619 1310 1108 1879 opacity 0.004380 1573 1360 2076 1866 opacity 0.004168 546 785 1062 1725 opacity 0.003647 292 1337 910 1941 opacity 0.003028 586 1067 966 1518 opacity 0.002774 1967 1430 2423 1929 opacity 0.002671 2013 1512 2246 1797 opacity 0.002214 578 1221 1030 1649 opacity 0.001224 1920 1249 2378 1864 opacity 0.001183 1896 934 2061 1172 opacity 0.001101 268 1646 474 1932 opacity 0.001059 510 741 904 1438 opacity 0.000961 265 1453 692 1916 opacity 0.000693 824 1340 1018 1482 opacity 0.000662 1600 966 2129 1786 opacity 0.000635 1834 801 2150 1376 opacity 0.000635 1555 1442 1956 1877 opacity 0.000630 1748 690 2109 1121 opacity 0.000618 1723 1468 2088 1811 opacity 0.000514 674 403 1171 875 opacity 0.000463 761 1279 1037 1539 opacity 0.000453 654 1151 874 1358 opacity 0.000413 503 1181 807 1549 opacity 0.000351 78 570 363 1312 opacity 0.000341 478 1417 1115 2034 opacity 0.000313 556 1377 944 1748 opacity 0.000306 1715 1298 2223 1789 opacity 0.000306 1944 1444 2182 1778 opacity 0.000281 1880 744 2176 1111 opacity 0.000240 886 696 1125 1151 opacity 0.000234 1586 875 1908 1358 opacity 0.000221 648 1231 1078 1525 opacity 0.000208 1602 967 1809 1306 opacity 0.000162 726 2054 1602 2946 opacity 0.000157 109 2745 1078 2946 opacity 0.000157 1674 696 2203 1646 opacity 0.000146 2022 978 2312 1611 opacity 0.000133 565 794 892 1254 opacity 0.000133 1597 921 1991 1531 opacity 0.000127 2115 1087 2286 1392 opacity 0.000117 1545 1951 2400 2946 opacity 0.000112 1871 938 2099 1272 opacity 0.000108 2151 1611 2436 1928 opacity 0.000102 2022 1905 2654 2946 opacity 0.000101 1586 362 2053 840 
386343f0df08,opacity 0.266684 2085 902 2830 1971 opacity 0.200284 386 848 1057 1815 opacity 0.041181 418 412 1308 1799 opacity 0.009452 1911 598 2736 1833 opacity 0.009046 1983 1264 2870 2082 opacity 0.008099 481 815 1018 1420 opacity 0.007688 328 1229 866 1893 opacity 0.007667 2267 869 2736 1696 opacity 0.004974 371 1092 1255 1959 opacity 0.002847 2304 1236 2942 2037 opacity 0.002537 2272 1171 2784 1851 opacity 0.001443 739 997 1412 1781 opacity 0.001239 497 989 1111 1619 opacity 0.001166 526 1000 1011 1327 opacity 0.001088 2056 1016 2679 1651 opacity 0.000860 440 804 912 1584 opacity 0.000820 838 1188 1326 1808 opacity 0.000818 2053 1526 2844 2038 opacity 0.000698 150 792 844 1940 opacity 0.000633 901 1458 1233 1747 opacity 0.000230 337 450 942 1670 opacity 0.000205 2359 1557 2859 1989 opacity 0.000175 715 1369 1245 1785 opacity 0.000161 399 1438 774 1765 opacity 0.000147 1918 1488 2371 1964 opacity 0.000136 2270 501 2877 1746 opacity 0.000124 1882 1255 2508 2053 opacity 0.000114 393 1041 822 1691 
d4ffcfab21d4,opacity 0.096800 161 259 790 1103 opacity 0.080667 1461 656 2073 1251 opacity 0.052684 144 586 518 1098 opacity 0.033575 1493 387 2196 1258 opacity 0.020384 156 710 449 1081 opacity 0.016643 351 275 737 664 opacity 0.016549 156 716 823 1160 opacity 0.010516 1797 393 2255 842 opacity 0.008081 274 160 903 835 opacity 0.008055 1423 842 1914 1234 opacity 0.005580 464 768 877 1128 opacity 0.005255 1636 841 2157 1291 opacity 0.004244 1431 400 1920 1174 opacity 0.003157 1712 563 2203 1334 opacity 0.002239 117 818 517 1183 opacity 0.001865 367 543 906 1132 opacity 0.001666 282 343 718 886 opacity 0.001539 1824 932 2160 1280 opacity 0.001451 1374 710 1802 1196 opacity 0.001407 247 198 724 774 opacity 0.001373 56 168 578 1102 opacity 0.001125 143 924 436 1133 opacity 0.001048 367 112 895 598 opacity 0.000963 1511 742 2261 1576 opacity 0.000943 1792 370 2421 1208 opacity 0.000766 42 719 507 1207 opacity 0.000753 403 335 1029 1105 opacity 0.000675 1665 309 2278 916 opacity 0.000670 553 590 953 1085 opacity 0.000610 1301 129 1994 1237 opacity 0.000559 472 313 772 583 opacity 0.000529 305 397 642 692 opacity 0.000471 72 934 925 1759 opacity 0.000455 28 379 425 1133 opacity 0.000431 1551 872 1994 1208 opacity 0.000427 1383 898 1717 1221 opacity 0.000329 310 65 1080 1173 opacity 0.000319 1552 184 1791 388 opacity 0.000319 460 50 1092 552 opacity 0.000300 589 769 830 1030 opacity 0.000300 657 84 1015 487 opacity 0.000260 593 825 946 1202 opacity 0.000256 609 790 812 919 opacity 0.000254 2871 1431 3050 2385 opacity 0.000228 501 720 848 1019 opacity 0.000182 478 308 925 646 opacity 0.000175 1850 845 2328 1794 opacity 0.000171 1910 323 2429 691 opacity 0.000169 2943 1381 3050 2256 opacity 0.000158 1749 899 2107 1202 opacity 0.000149 1450 94 2220 929 opacity 0.000142 1820 298 2167 681 opacity 0.000136 2638 2435 3050 2544 opacity 0.000131 406 1073 1003 1799 opacity 0.000128 107 790 883 1391 opacity 0.000127 555 909 889 1252 opacity 0.000126 2793 894 3056 2415 opacity 0.000124 1415 1113 2382 2077 opacity 0.000121 197 691 585 1004 opacity 0.000121 1904 388 2191 735 opacity 0.000116 1958 1009 2173 1342 opacity 0.000115 0 2117 334 2544 opacity 0.000113 2943 1833 3056 2301 opacity 0.000111 442 338 871 820 opacity 0.000107 710 1252 1361 2107 opacity 0.000105 90 919 776 1267 opacity 0.000102 1886 696 2250 1411 
df937504e546,opacity 0.062116 624 927 952 1230 opacity 0.054961 1885 1386 2664 2037 opacity 0.029927 480 995 958 1850 opacity 0.025290 465 1391 870 1878 opacity 0.024449 2073 969 2655 1931 opacity 0.011416 495 1363 1158 1920 opacity 0.011206 2130 1613 2703 2076 opacity 0.007817 545 838 999 1479 opacity 0.007159 2236 1240 2710 1981 opacity 0.005444 583 604 1196 1261 opacity 0.005299 564 729 947 1204 opacity 0.005235 710 1458 1226 1867 opacity 0.005139 1773 1380 2340 1990 opacity 0.004111 605 906 1220 1849 opacity 0.003849 2307 1681 2693 1995 opacity 0.003655 639 895 1110 1298 opacity 0.003593 2155 817 2586 1618 opacity 0.003279 12 668 387 1652 opacity 0.002426 2182 854 2519 1256 opacity 0.002358 1852 1641 2726 2233 opacity 0.002281 512 1407 804 1749 opacity 0.002279 1831 1233 2492 1898 opacity 0.002174 2257 955 2646 1811 opacity 0.001727 2135 1486 2586 1908 opacity 0.001578 781 518 1250 983 opacity 0.001307 2400 1718 2674 1920 opacity 0.001155 1847 649 2568 1805 opacity 0.001052 856 1527 1232 1840 opacity 0.000986 846 1333 1266 1889 opacity 0.000983 417 1460 1044 2042 opacity 0.000965 1959 963 2477 1661 opacity 0.000717 2082 1184 2319 1409 opacity 0.000692 2359 1452 2739 1995 opacity 0.000691 420 1195 778 1849 opacity 0.000474 2289 879 2573 1530 opacity 0.000467 537 861 860 1221 opacity 0.000423 2288 1483 2587 1812 opacity 0.000362 2004 1121 2327 1491 opacity 0.000351 1688 1781 2033 2086 opacity 0.000332 1713 1450 2475 2168 opacity 0.000306 650 996 949 1342 opacity 0.000290 2261 843 2499 1167 opacity 0.000258 1746 1383 2139 1904 opacity 0.000249 1939 1494 2414 1857 opacity 0.000247 738 961 938 1166 opacity 0.000189 1564 2479 2555 2994 opacity 0.000156 2039 885 2496 1400 opacity 0.000153 2273 1752 2766 2145 opacity 0.000148 1043 1078 1225 1266 opacity 0.000142 316 1969 1330 2895 opacity 0.000123 469 1523 832 1980 opacity 0.000117 0 2314 521 3000 opacity 0.000111 1729 1523 2133 2086 opacity 0.000108 938 592 1307 1084 opacity 0.000105 568 1436 961 1828 opacity 0.000102 990 973 1242 1295 
4d6c8e93e7c9,opacity 0.267614 1080 825 1692 2562 opacity 0.162744 3175 846 3819 2600 opacity 0.024065 3172 1756 3853 2697 opacity 0.019252 1145 918 1628 1870 opacity 0.018907 3163 2213 3578 2654 opacity 0.018584 1139 599 2089 2623 opacity 0.018239 2801 509 3757 2571 opacity 0.014916 1048 1630 1674 2728 opacity 0.009250 3085 2084 3719 2695 opacity 0.006743 1165 668 1893 1890 opacity 0.004382 3203 868 3704 1888 opacity 0.003300 3326 1485 3777 2360 opacity 0.003017 3319 1320 3959 2678 opacity 0.002727 725 789 1594 2693 opacity 0.002360 2836 1781 3722 2701 opacity 0.002359 3035 610 3694 1869 opacity 0.001960 1040 2018 1910 2866 opacity 0.001645 3236 1184 3740 2125 opacity 0.001321 1239 2342 2074 2816 opacity 0.001158 2932 503 3586 1333 opacity 0.001152 1113 1247 1551 2104 opacity 0.001053 3312 795 4159 2642 opacity 0.000892 1012 1145 1559 2298 opacity 0.000763 1097 1851 1547 2566 opacity 0.000748 2776 431 3488 960 opacity 0.000668 4056 710 4251 2506 opacity 0.000655 1180 1196 1753 2227 opacity 0.000521 3316 2101 3923 2746 opacity 0.000415 2880 2175 3574 2727 opacity 0.000359 1129 1526 1992 2695 opacity 0.000264 3051 2293 3592 2775 opacity 0.000232 3697 680 4235 2656 opacity 0.000223 1149 1582 1637 2376 opacity 0.000222 873 1369 1654 2895 opacity 0.000208 1197 1076 1538 1655 opacity 0.000208 2918 450 3367 872 opacity 0.000193 2760 756 3583 1921 opacity 0.000157 0 1826 133 2657 opacity 0.000140 1147 2010 1496 2487 opacity 0.000137 1288 640 2111 1690 opacity 0.000136 1372 1015 2012 1567 opacity 0.000136 0 3256 565 3488 opacity 0.000113 2161 3100 2843 3488 opacity 0.000103 3924 422 4248 2596 
